Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Phippsburg,43.752,69.822,BETA-50161,LM peat,4980 ± 60,-19.1,5893-5601,-6.90,0.41,Gehrels et al. (1996),1,4980,60,-69.822
Phippsburg,43.752,69.822,AA-8939,HM peat,4270 ± 70,-15.9,5039-4581,-3.09,0.40,Gehrels et al. (1996),1,4270,70,-69.822
Phippsburg,43.752,69.822,PITT-0965,HHM peat,4480 ± 95,,5441-4857,-4.13,0.40,Gehrels et al. (1996),1,4480,95,-69.822
Phippsburg,43.752,69.822,PITT-0967,HHM peat,3470 ± 150,,4147-3389,-3.57,0.41,Gehrels et al. (1996),1,3470,150,-69.822
Phippsburg,43.752,69.822,PITT-0968,HHM peat,3435 ± 45,,3830-3584,-2.33,0.41,Gehrels et al. (1996),1,3435,45,-69.822
Wells,43.292,70.573,SI-6623,HM peat,5135 ± 70,,6171-5663,-5.85,0.39,Kelley et al. (1995),3,5135,70,-70.573
Wells,43.292,70.573,SI-6626,HM peat,4380 ± 55,,5274-4842,-5.09,0.39,Kelley et al. (1995),3,4380,55,-70.573
Phippsburg,43.742,69.832,AA-8212,LM peat,4945 ± 75,-25.7,5896-5494,-6.49,0.41,Gehrels et al. (1996),1,4945,75,-69.832
Phippsburg,43.752,69.822,AA-8937,HM peat,990 ± 60,-15.4,1053-745,-0.62,0.40,Gehrels et al. (1996),1,990,60,-69.822
Phippsburg,43.742,69.832,AA-8940,HM peat,2770 ± 65,,3060-2754,-1.71,0.40,Gehrels et al. (1996),1,2770,65,-69.832
Morse River,43.752,69.822,SI-6555,HM peat,2865 ± 70,-23,3211-2797,-2.00,0.84,Belknap et al. (1989),3,2865,70,-69.822
Morse River,43.752,69.822,SI-6546,HM peat,155 ± 45,-18.9,286-0,-1.00,0.84,Belknap et al. (1989),3,155,45,-69.822
Morse River,43.752,69.822,SI-6547,HM peat,2540 ± 55,-17,2759-2367,-2.91,0.84,Belknap et al. (1989),3,2540,55,-69.822
Morse River,43.752,69.822,SI-6549,HHM peat,540 ± 60,-17.4,653-503,-1.49,0.84,Belknap et al. (1989),3,540,60,-69.822
Morse River,43.752,69.822,SI-6550,HM peat,1305 ± 60,-18.6,1310-1074,-1.48,0.84,Belknap et al. (1989),3,1305,60,-69.822
Morse River,43.752,69.822,SI-6551,HHM peat,1505 ± 80,-19,1554-1286,-1.85,0.84,Belknap et al. (1989),3,1505,80,-69.822
Morse River,43.752,69.822,SI-6553,LM peat,2115 ± 50,-18.7,2305-1949,-1.48,1.08,Belknap et al. (1989),3,2115,50,-69.822
Penobscot Bay,44.176,68.825,GX-11006,HM peat,2145 ± 125,-19,2451-1821,-1.51,0.94,Belknap et al. (1989),3,2145,125,-68.825
Penobscot Bay,44.176,68.825,GX-11007,HM peat,3255 ± 150,-27.7,3863-3079,-2.26,0.94,Belknap et al. (1989),3,3255,150,-68.825
Wells,43.292,70.573,PITT-0906,LM peat,2225 ± 60,,2350-2066,-1.34,0.69,Kelley et al. (1995),3,2225,60,-70.573
Wells,43.292,70.573,PITT-0909,HM peat,3065 ± 75,,3447-3063,-2.60,0.39,Kelley et al. (1995),3,3065,75,-70.573
Wells,43.292,70.573,PITT-0912,LM peat,3585 ± 60,,4080-3704,-2.88,0.69,Gehrels et al. (1996),1,3585,60,-70.573
Wells,43.292,70.573,PITT-0916,HM peat,2010 ± 40,,2104-1876,-1.34,0.39,Kelley et al. (1995),3,2010,40,-70.573
Wells,43.340,70.541,PITT-0896,HM peat,300 ± 50,,489-155,-0.73,0.39,Gehrels et al. (1996),3,300,50,-70.541
Wells,43.340,70.541,PITT-0897,HM peat,1090 ± 50,,1168-924,-1.27,0.39,Gehrels et al. (1996),3,1090,50,-70.541
Wells,43.340,70.541,PITT-0900,LM peat,4335 ± 60,,5265-4729,-2.23,0.69,Gehrels et al. (1996),1,4335,60,-70.541
Wells,43.292,70.573,SI-6618,HM peat,1470 ± 55,,1516-1290,-0.95,0.39,Kelley et al. (1995),3,1470,55,-70.573
Wells,43.292,70.573,SI-6619,HM peat,3080 ± 70,,3445-3079,-1.56,0.39,Kelley et al. (1995),3,3080,70,-70.573
Wells,43.292,70.573,SI-6620,HM peat,3865 ± 55,,4424-4098,-3.14,0.39,Kelley et al. (1995),3,3865,55,-70.573
Wells,43.292,70.573,SI-6621,HM peat,1345 ± 55,,1361-1145,-1.17,0.39,Kelley et al. (1995),3,1345,55,-70.573
Wells,43.292,70.573,SI-6622,LM peat,1755 ± 55,,1816-1550,-0.96,0.69,Kelley et al. (1995),3,1755,55,-70.573
Wells,43.292,70.573,SI-6624,LM peat,2495 ± 80,,2740-2362,-1.85,0.69,Kelley et al. (1995),3,2495,80,-70.573
Wells,43.292,70.573,SI-6625,HM peat,3780 ± 55,,4404-3982,-4.19,0.39,Kelley et al. (1995),3,3780,55,-70.573
Wells,43.292,70.573,SI-6627,HM peat,3105 ± 70,,3467-3081,-2.24,0.39,Kelley et al. (1995),3,3105,70,-70.573
Wells,43.292,70.573,SI-6628,HM peat,3705 ± 50,,4226-3898,-2.92,0.39,Kelley et al. (1995),3,3705,50,-70.573
Wells,43.292,70.573,SI-6629,HHM peat,4220 ± 60,,4871-4539,-3.79,0.39,Kelley et al. (1995),3,4220,60,-70.573
Wells,43.292,70.573,Beta-44061,Sp,980 ± 55,,1046-744,-0.67,0.38,Kelley et al. (1995),2,980,55,-70.573
Wells,43.292,70.573,Beta-44062,Sp,2100 ± 55,,2303-1929,-1.58,0.38,Kelley et al. (1995),2,2100,55,-70.573
Wells,43.292,70.573,Beta-44063,Sp,2520 ± 60,,2749-2365,-2.38,0.39,Kelley et al. (1995),2,2520,60,-70.573
Wells,43.292,70.573,Beta-44064,Sp,3510 ± 60,,3964-3638,-3.01,0.39,Kelley et al. (1995),2,3510,60,-70.573
Wells,43.292,70.573,BETA-106461,Saltmarsh peat,270 ± 60,-25.4,492-0,-0.53,0.43,Gehrels et al. (2002),1,270,60,-70.573
Wells,43.292,70.573,AA-33346,Saltmarsh peat,465 ± 60,,633-319,-0.60,0.43,Gehrels et al. (2002),1,465,60,-70.573
Wells,43.292,70.573,AA-33347,Saltmarsh peat,825 ± 45,-22.8,900-672,-0.68,0.43,Gehrels et al. (2002),1,825,45,-70.573
Wells,43.292,70.573,AA-33348,Saltmarsh peat,1020 ± 55,,1055-795,-0.77,0.43,Gehrels et al. (2002),1,1020,55,-70.573
Wells,43.292,70.573,AA-33349,Saltmarsh peat,1105 ± 45,-13.5,1168-930,-0.82,0.43,Gehrels et al. (2002),1,1105,45,-70.573
Wells,43.292,70.573,BETA-106462,Saltmarsh peat,1140 ± 60,-25.4,1228-932,-0.88,0.43,Gehrels et al. (2002),1,1140,60,-70.573
Phippsburg,43.752,69.822,AA-8938,HM peat,2675 ± 70,,2960-2544,-1.89,0.40,Gehrels et al. (1996),1,2675,70,-69.822
Phippsburg,43.752,69.822,BETA-52188,HM peat,3760 ± 60,-17.1,4400-3928,-3.03,0.41,Gehrels et al. (1996),1,3760,60,-69.822
Damariscotta,43.964,69.571,SI-6617,HHM peat,6295 ± 55,-27.8,7413-7021,-15.31,0.40,Gehrels et al. (1996),3,6295,55,-69.571
Wells,43.292,70.573,PITT-0907,BM peat,4255 ± 55,,4967-4617,-3.60,0.39,Gehrels et al. (1996),1,4255,55,-70.573
Wells,43.292,70.573,AA-8208,BM peat,4235 ± 70,-25.7,4965-4539,-2.95,0.38,Gehrels et al. (1996),1,4235,70,-70.573
Wells,43.292,70.573,PITT-0917,BM peat,3900 ± 145,,4815-3927,-2.80,0.40,Gehrels et al. (1996),1,3900,145,-70.573
Wells,43.292,70.573,PITT-0918,BM peat,3265 ± 70,,3680-3362,-2.90,0.39,Gehrels et al. (1996),1,3265,70,-70.573
Wells,43.292,70.573,PITT-0920,BM peat,3340 ± 55,,3700-3446,-1.75,0.39,Gehrels et al. (1996),1,3340,55,-70.573
Wells,43.292,70.573,AA-8209,BM peat,4735 ± 70,,5591-5319,-4.15,0.39,Gehrels et al. (1996),1,4735,70,-70.573
Wells,43.340,70.541,PITT-0902,LM peat,705 ± 165,,966-330,-0.36,0.76,Kelley et al. (1995),1,705,165,-70.541
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Kennebec River,43.701,69.824,BETA-63124,M. edu,7490 ± 90,,8104-7634,-25.62,3.02,Barnhardt et al. (1995),4,7490,90,-69.824
Kennebec River,43.701,69.824,BETA-63125,M. edu,7310 ± 70,,7900-7514,-25.62,3.02,Barnhardt et al. (1995),4,7310,70,-69.824
Kennebec River,43.707,69.794,OS-1862,M. bal,8610 ± 40,,9379-8977,-26.62,3.02,Barnhardt et al. (1995),4,8610,40,-69.794
Kennebec River,43.707,69.794,OS-1860,M. bal,8710 ± 35,,9456-9068,-26.62,3.02,Barnhardt et al. (1995),4,8710,35,-69.794
Saco Bay,43.533,70.217,PITT-0739,A. isl,785 ± 35,,488-146,-54.31,3.02,Kelley et al. (1992),4,785,35,-70.217
Saco Bay,43.533,70.217,PITT-0741,H. arc,5915 ± 155,,6624-5878,-51.51,3.02,Kelley et al. (1992),4,5915,155,-70.217
Cape Small,43.700,69.767,PITT-0744,M. are,9000 ± 100,,9998-9310,-22.61,3.02,Kelley et al. (1992),4,9000,100,-69.767
Cape Small,43.700,69.767,PITT-0745,M. are,9630 ± 75,,10577-10191,-22.71,3.02,Kelley et al. (1992),4,9630,75,-69.767
Cape Small,43.700,69.767,PITT-0746,M. mod,9700 ± 65,,10646-10230,-22.91,3.02,Kelley et al. (1992),4,9700,65,-69.767
Cape Small,43.700,69.767,PITT-0747,M. are,9260 ± 100,,10220-9576,-24.71,3.02,Kelley et al. (1992),4,9260,100,-69.767
Cape Small,43.700,69.767,PITT-0748,M. edu,8250 ± 80,,8962-8416,-22.86,3.02,Kelley et al. (1992),4,8250,80,-69.767
Cape Small,43.700,69.767,PITT-0749,M. are,9235 ± 60,,10171-9623,-23.91,3.02,Kelley et al. (1992),4,9235,60,-69.767
Cape Small,43.700,69.767,PITT-0585,M. are,9090 ± 95,,10091-9465,-24.26,3.02,Kelley et al. (1992),4,9090,95,-69.767
Cape Small,43.700,69.767,PITT-0586,M. are,9250 ± 110,,10216-9550,-24.36,3.02,Kelley et al. (1992),4,9250,110,-69.767
Cape Small,43.700,69.767,PITT-0587,M. are,7270 ± 105,,7904-7438,-24.51,3.02,Kelley et al. (1992),4,7270,105,-69.767
Cape Small,43.683,69.917,PITT-0753,A. isl,1300 ± 35,,914-636,-37.91,3.02,Kelley et al. (1992),4,1300,35,-69.917
Cape Small,43.683,69.917,PITT-0754,M. are,2570 ± 50,,2326-1924,-39.01,3.02,Kelley et al. (1992),4,2570,50,-69.917
Cape Small,43.683,69.917,PITT-0755,M. are,2950 ± 210,,3161-2049,-42.11,3.02,Kelley et al. (1992),4,2950,210,-69.917
Cape Small,43.800,69.850,PITT-0756,A. isl,8270 ± 75,,8974-8440,-46.11,3.02,Kelley et al. (1992),4,8270,75,-69.850
Casco Bay,43.717,70.167,PiTT-0737,M. are,9130 ± 70,,10089-9519,-24.11,3.02,Kelley et al. (1992),4,9130,70,-70.167
Penobscot Bay,44.414,68.857,BETA-69336,M. are,8730 ± 70,,9487-9037,-27.40,3.02,Barnhardt et al. (1995),4,8730,70,-68.857
Penobscot Bay,44.414,68.857,BETA-69337,M. are,8730 ± 60,,9484-9058,-27.40,3.02,Barnhardt et al. (1995),4,8730,60,-68.857
Fox Island,44.119,68.869,GX-11004,M. are,5880 ± 105,2,6455-5911,-11.25,0.80,Belknap et al. (1989),4,5880,105,-68.869
Fox Island,44.119,68.869,GX-11005,M. are,5430 ± 100,1.6,5975-5453,-7.60,0.80,Belknap et al. (1989),4,5430,100,-68.869
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Penobscot Bay,44.176,68.825,GX-11008,Wood,3700 ± 200,-26.3,4780-3484,-0.52,0.80,Belknap et al. (1989),2,3700,200,-68.825
Wells,43.320,70.580,PITT-0962,stump,4535 ± 35,,5313-5051,-1.23,0.26,Kelley et al. (1995),2,4535,35,-70.580
Wells,43.320,70.580,PITT-0963,stump,3260 ± 40,,3574-3390,-1.23,0.26,Kelley et al. (1995),2,3260,40,-70.580
Wells,43.320,70.580,W-396,white pine stump,2980 ± 180,,3559-2757,2.83,0.73,Bloom (1963),2,2980,180,-70.580
Wells,43.320,70.580,W-508,white pine stump,2810 ± 200,,3436-2366,3.90,0.73,Bloom (1963),2,2810,200,-70.580
Wells,43.320,70.580,PITT-0913,wood,4480 ± 60,,5309-4887,-2.06,0.16,Kelley et al. (1995),2,4480,60,-70.580
,,,,,,,,,,,,,,
Northern Massacusetts,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Romney Marsh,42.428,70.989,BETA-134753,Jg and Sp,3050 ± 50,-18,3376-3080,-2.52,0.41,Donnelly (2006),2,3050,50,-70.989
Romney Marsh,42.428,70.989,BETA-134755,Ds,2950 ± 60,-15,3328-2948,-2.33,0.41,Donnelly (2006),2,2950,60,-70.989
Romney Marsh,42.428,70.989,BETA-134756,"Jg, Sr and Sp",1900 ± 40,-23.8,1927-1727,-1.38,0.40,Donnelly (2006),2,1900,40,-70.989
Romney Marsh,42.428,70.989,OS-24172,Jg and Sp,260 ± 50,-20.8,468-0,-0.73,0.40,Donnelly (2006),2,260,50,-70.989
Romney Marsh,42.428,70.989,BETA-138707,Sp,1040 ± 40,-15.7,1058-804,-0.95,0.40,Donnelly (2006),2,1040,40,-70.989
Romney Marsh,42.428,70.989,BETA-134754,Sp,2510 ± 50,-14.7,2744-2366,-1.94,0.40,Donnelly (2006),2,2510,50,-70.989
Boston,42.500,71.100,O-1119,Salt marsh peat,2550 ± 115,,2854-2348,-1.40,1.13,Kaye and Barghoorn (1964),3,2550,115,-71.100
Plum Island,42.725,70.856,OS-72133,Salt marsh rhizome,815 ± 30,-12.4,780-682,-1.12,0.84,Kirwan et al (2011),3,815,30,-70.856
Plum Island,42.725,70.856,OS-72717,Salt marsh rhizome,2830 ± 70,,3158-2780,-2.94,0.84,Kirwan et al (2011),3,2830,70,-70.856
Plum Island,42.725,70.856,OS-67868,Salt marsh peat,5030 ± 35,-17.3,5895-5662,-5.97,0.84,Kirwan et al (2011),3,5030,35,-70.856
Plum Island,42.745,70.831,OS-72134,Ds,510 ± 25,-11.6,552-506,-1.37,0.84,Kirwan et al (2011),1,510,25,-70.831
Plum Island,42.745,70.831,OS-72194,Salt marsh rhizome,3900 ± 30,-14.2,4418-4246,-3.13,1.00,Kirwan et al (2011),3,3900,30,-70.831
Plum Island,42.744,70.826,OS-72193,Salt marsh rhizome,3450 ± 35,-12.4,3831-3635,-2.4,1.00,Kirwan et al (2011),3,3450,35,-70.826
Plum Island,42.746,70.823,OS-72358,Ds,475 ± 35,-12.2,547-482,-1.22,0.84,Kirwan et al (2011),1,475,35,-70.823
Plum Island,42.739,70.839,OS-72195,Salt marsh rhizome,360 ± 30,-12.5,499-316,-1.05,0.84,Kirwan et al (2011),3,360,30,-70.839
Plum Island,42.739,70.839,OS-67691,Salt marsh rhizome,1210 ± 30,-11.9,1256-1059,-0.66,1.00,Kirwan et al (2011),3,1210,30,-70.839
Plum Island,42.739,70.839,OS-67692,Salt marsh rhizome,1650 ± 30,-12.4,1687-1418,-1.16,1.00,Kirwan et al (2011),3,1650,30,-70.839
Plum Island,42.739,70.839,OS-67693,Salt marsh rhizome,2190 ± 25,-12.4,2310-2130,-1.88,1.00,Kirwan et al (2011),3,2190,25,-70.839
Plum Island,42.729,70.839,OS-67694,Salt marsh rhizome,125 ± 30,-11.2,273-0,-0.66,0.95,Kirwan et al (2011),3,125,30,-70.839
Plum Island,42.743,70.840,OS-67695,Salt marsh rhizome,925 ± 30,-11.8,924-773,-1.02,0.84,Kirwan et al (2011),3,925,30,-70.840
Plum Island,42.719,70.820,OS-72132,Ds, 385 ± 25,-13.4,506-324,-1.49,0.77,Kirwan et al (2011),1,385,25,-70.820
Plum Island,42.732,70.840,OS-67688,Salt marsh rhizome,130 ± 35,-12.4,279-0,-0.44,0.95,Kirwan et al (2011),3,130,35,-70.840
Plum Island,42.729,70.823,OS-72131,Ds,275 ± 30,-11.9,451-154,-0.88,0.84,Kirwan et al (2011),1,275,30,-70.823
Plum Island,42.729,70.823,OS-72755,Ds,415 ± 60,-13.7,535-315,-1.74,0.84,Kirwan et al (2011),1,415,60,-70.823
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,,,,
Boston,42.351,71.075,O-1475,Estuarine Silt,4450 ± 130,,5567-4727,-7.66,0.27,Kaye and Barghoorn (1964),3,4450,130,-71.075
Jeffreys Ledge,42.640,70.450,WHG-709,Marine shells,4660 ± 65,,4960-4540,-58.05,3.18,Oldale et al. (1993),3,4660,65,-70.450
Jeffreys Ledge,42.655,70.415,WHG-706,Marine shells,7500 ± 75,,8027-7673,-61.06,3.19,Oldale et al. (1993),3,7500,75,-70.415
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Boston,42.346,71.080,O-1124,Sedge peat,3850 ± 130,,4784-3878,-2.95,0.26,Kaye and Barghoorn (1964),3,3850,130,-71.080
Boston,42.351,71.075,O-1118,Fresh peat,5600 ± 140,,6729-6021,-7.12,0.27,Kaye and Barghoorn (1964),3,5600,140,-71.075
Neponset River,42.270,71.050,I-2215,Undiff peat,1310 ± 95,,1387-989,2.04,0.96,Redfield (1967),3,1310,95,-71.050
Neponset River,42.270,71.050,I-2216,Undiff peat,1360 ± 105,,1517-1017,1.74,0.96,Redfield (1967),3,1360,105,-71.050
Neponset River,42.270,71.050,I-2217,Undiff peat,1860 ± 100,,2034-1542,1.43,0.96,Redfield (1967),3,1860,100,-71.050
Neponset River,42.270,71.050,W-1451,Undiff peat,2100 ± 200,,2660-1648,1.31,0.96,Redfield (1967),3,2100,200,-71.050
Neponset River,42.270,71.050,W-1452,Undiff peat,2790 ± 200,,3381-2365,0.70,0.96,Redfield (1967),3,2790,200,-71.050
Neponset River,42.270,71.050,W-1453,Undiff peat,3110 ± 200,,3823-2793,0.22,0.96,Redfield (1967),3,3110,200,-71.050
Boston,42.400,71.100,C-417,Fresh peat,5717 ± 550,,7669-5315,-6.33,0.27,Redfield and Rubin (1962),3,5717,550,-71.100
Gloucester Point,42.750,70.800,H-1376,Undiff peat,2450 ± 110,,2763-2185,0.80,0.95,Newman et al. (1980),3,2450,110,-70.800
Gloucester Point,42.750,70.800,H-1367,Undiff peat,3550 ± 130,,4226-3482,-0.95,0.95,Newman et al. (1980),3,3550,130,-70.800
Gloucester Point,42.750,70.800,H-1366,Undiff peat,3375 ± 120,,3920-3364,-0.60,0.95,Newman et al. (1980),3,3375,120,-70.800
Gloucester Point,42.750,70.800,H-1375,Undiff peat,3625 ± 125,,4377-3595,-1.56,0.95,Newman et al. (1980),3,3625,125,-70.800
Gloucester Point,42.750,70.800,H-1372,Undiff peat,4225 ± 135,,5277-4419,-2.49,0.95,Newman et al. (1980),3,4225,135,-70.800
Gloucester Point,42.750,70.800,H-1356,Undiff peat,4900 ± 130,,5912-5324,-5.20,0.95,Newman et al. (1980),3,4900,130,-70.800
Gloucester Point,42.750,70.800,H-1359,Undiff peat,6280 ± 150,,7464-6798,-10.09,0.96,Newman et al. (1980),3,6280,150,-70.800
,,,,,,,,,,,,,,
Southern Massachusetts,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Barnstable,41.710,70.370,W-1092,Spartina peat,3400 ± 300,,4496-2284,-6.04,1.34,Redfield and Rubin (1962),2,3400,300,-70.370
Barnstable,41.700,70.360,W-971,Spartina peat,2800 ± 250,,3556-2340,-3.61,1.34,Redfield and Rubin (1962),2,2800,250,-70.360
