Table 1,,,,,,,,,,,,,,,,
ObjectID,Dbnum,Database,Zone,Region,SubRegion,Sample ID,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Indicator,Indicative meaning
13,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38838,68.39,-52.99,1.89,0.6,0.6,4434,133,133,Isolation basin (isolation contact),MHWST to HAT
14,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta-107879,69.76,-51.28,68.45,0.46,0.46,9872,309,309,Isolation basin (isolation contact),MHWST to HAT
15,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta-112544,69.76,-51.28,45.91,0.38,0.38,8683,296,296,Isolation basin (isolation contact),HAT
16,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta-112543,69.76,-51.28,24.36,0.78,0.78,7831,320,320,Isolation basin (isolation contact),MHWST to HAT
17,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta-110748,69.76,-51.28,17.11,0.25,0.25,7236,80,80,Isolation basin (isolation contact),MHWST to HAT
18,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta-110747,69.76,-51.28,12.97,0.93,0.93,5145,165,165,Isolation basin (isolation contact),MHWST to HAT
19,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta 110457,69.76,-51.28,-2.75,0.37,0.37,4112,391,391,Isolation basin (isolation contact),MHWST
20,1,Greenland,1,Disko Bugt,Arveprinsens Ejland,Beta 110456,69.76,-51.28,-2.8,0.37,0.37,1236,170,170,Isolation basin (ingression contact),MHWST to HAT
21,1,Greenland,1,Disko Bugt,Upernivik,Beta-178170,69.02,-50.58,250,0.5,0.5,7742,80,80,Marine limit,above marine limit
22,1,Greenland,1,Disko Bugt,Upernivik,Beta-178169,69.02,-50.58,175,0.5,0.5,7592,80,80,Marine limit,above marine limit
23,1,Greenland,1,Disko Bugt,Upernivik,Beta-178168,69.02,-50.58,43.32,0.5,0.5,8821,174,174,Marine limit,above marine limit
24,1,Greenland,1,Disko Bugt,Upernivik,Beta-178165,69.02,-50.58,30.59,0.28,0.28,7594,81,81,Isolation basin (isolation contact),MHWST to HAT
25,1,Greenland,1,Disko Bugt,Upernivik,Beta-178171,69.02,-50.58,24.67,0.32,0.32,6786,109,109,Isolation basin (isolation contact),MHWST to HAT
26,1,Greenland,1,Disko Bugt,Upernivik,Beta-178166,69.02,-50.58,11.15,0.35,0.35,5812,97,97,Isolation basin (isolation contact),MHWST to HAT
27,1,Greenland,1,Disko Bugt,Upernivik,Beta-179167,69.02,-50.58,0.56,0.33,0.33,4687,139,139,Isolation basin (isolation contact),MHWST to HAT
28,1,Greenland,1,Disko Bugt,Upernivik,Beta 178172,69.02,-50.58,-4.38,0.32,0.32,3825,132,132,Isolation basin (isolation contact),MHWST to HAT
29,1,Greenland,1,Disko Bugt,Upernivik,Beta 178173,69.02,-50.58,-4.38,0.32,0.32,1678,133,133,Isolation basin (ingression contact),MHWST to HAT
30,1,Greenland,1,Disko Bugt,PŠkitsoq,KIA-23028,69.49,-50.71,41.21,0.5,0.5,7425,155,155,Marine limit,above marine limit
31,1,Greenland,1,Disko Bugt,PŠkitsoq,KIA-23026,69.49,-50.71,31.97,1,1,7374,55,55,Isolation basin (isolation contact),MHWST to HAT
32,1,Greenland,1,Disko Bugt,PŠkitsoq,KIA-23027,69.49,-50.71,36.08,0.5,0.5,6971,291,291,Marine limit,above marine limit
33,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39659,68.67,-51.02,89.52,0.5,0.5,9626,190,190,Marine limit,above marine limit
34,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39658,68.67,-51.02,56.56,0.59,0.59,8518,128,128,Isolation basin (isolation contact),MHWST
35,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39657,68.67,-51.02,35.84,0.22,0.22,7678,107,107,Isolation basin (isolation contact),MHWST to HAT
36,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39656,68.67,-51.02,16.4,0.79,0.79,6480,170,170,Isolation basin (isolation contact),MHWST to HAT
37,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39664,68.67,-51.02,56,0.22,0.22,8204,172,172,Isolation basin (isolation contact),MHWST to HAT
38,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39665,68.67,-51.02,56.38,0.82,0.82,8499,104,104,Isolation basin (isolation contact),MHWST to HAT
39,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39661,68.67,-51.02,43.62,0.69,0.69,7870,128,128,Isolation basin (isolation contact),MHWST to HAT
40,1,Greenland,1,Disko Bugt,Akulliit/Nuuk,AA39660,68.67,-51.02,33.27,0.57,0.57,7414,148,148,Isolation basin (isolation contact),MHWST
41,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),Beta-183253,69.55,-53.72,79.65,0.28,0.28,10999,265,265,Isolation basin (isolation contact),MHWST to HAT
42,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),Beta-183252,69.55,-53.72,26.69,0.28,0.28,8430,107,107,Isolation basin (isolation contact),MHWST to HAT
43,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),Beta-183251,69.55,-53.72,13.56,0.28,0.28,6367,72,72,Isolation basin (isolation contact),MHWST to HAT
44,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),Beta-183250,69.55,-53.72,2.06,0.28,0.28,4252,156,156,Isolation basin (isolation contact),MHWST to HAT
45,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),K-5776,69.55,-53.72,13,0.5,0.5,5386,330,330,Isolation basin (isolation contact),HAT
46,1,Greenland,1,Disko Bugt,Kangerluarsuk (Disko Island),K-3505,69.55,-53.72,22.5,2.5,2.5,7625,193,193,Isolation basin (isolation contact),HAT
47,1,Greenland,1,Central West Greenland,Sisimiut,LuS-8462,66.96,-53.68,129.9,0.5,0.5,10193,78,78,Isolation basin (isolation contact),HAT
48,1,Greenland,1,Central West Greenland,Sisimiut,KIA-35512 LuS-8461,66.98,-53.71,94.9,0.5,0.5,10358,228,228,Isolation basin (isolation contact),HAT
49,1,Greenland,1,Central West Greenland,Sisimiut,KIA-35509 KIA-35510 LuS-8460,66.98,-53.69,98.4,0.5,0.5,9465,703,703,Isolation basin (isolation contact),HAT
50,1,Greenland,1,Central West Greenland,Sisimiut,LuS-8459,66.94,-53.6,39.8,0.5,0.5,8423,101,101,Isolation basin (isolation contact),HAT
51,1,Greenland,1,Central West Greenland,Sisimiut,LuS-8783,66.95,-53.67,18.4,0.5,0.5,5075,207,207,Isolation basin (isolation contact),HAT
52,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15780,66.47,-53.62,13,0.08,0.08,5743,137,137,Isolation basin (isolation contact),Not specified
53,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15783,66.47,-53.62,7.68,0.16,0.16,4633,184,184,Isolation basin (isolation contact),Not specified
54,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-17228,66.47,-53.62,0.69,0.41,0.41,3488,89,89,Isolation basin (isolation contact),Not specified
55,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15785,66.47,-53.62,-2.19,0.31,0.31,2248,95,95,Isolation basin (isolation contact),Not specified
56,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15787,66.47,-53.62,-4.22,0.28,0.28,1264,81,81,Isolation basin (isolation contact),Not specified
57,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15789,66.47,-53.62,-4.03,0.41,0.41,2222,102,102,Isolation basin (isolation contact),Not specified
58,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15790,66.47,-53.62,-4.03,0.41,0.41,2153,151,151,Isolation basin (ingression contact),Not specified
59,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15786,66.47,-53.62,-1.84,0.31,0.31,1181,100,100,Isolation basin (ingression contact),Not specified
60,1,Greenland,1,Central West Greenland,Sisimiut,SUERC-15788,66.47,-53.62,-3.87,0.41,0.41,1393,93,93,Isolation basin (ingression contact),Not specified
61,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9428,65.73,-37.27,97,0.5,0.5,10990,215,215,Marine limit,above marine limit
62,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9426,65.73,-37.27,93,0.5,0.5,10535,230,230,Marine limit,above marine limit
63,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9425,65.73,-37.27,21.13,0.64,0.64,9487,76,76,Isolation basin (isolation contact),MHWST to HAT
64,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9424,65.73,-37.27,9.85,0.29,0.29,8431,107,107,Isolation basin (isolation contact),MHWST to HAT
65,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9421,65.73,-37.27,5.65,0.34,0.34,8051,109,109,Isolation basin (isolation contact),MHWST to HAT
66,1,Greenland,1,Eastern Greenland,Ammassalik,SUERC-9420,65.73,-37.27,1.25,0.3,0.3,6674,116,116,Isolation basin (isolation contact),MHWST to HAT
67,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5877,60.76,-46.03,31.19,0.7,0.7,10980,220,220,Isolation basin (isolation contact),HAT
68,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5875,60.76,-46.03,22.49,0.7,0.7,10010,220,220,Isolation basin (isolation contact),HAT
69,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5873,60.76,-46.03,12.49,0.6,0.6,9125,375,375,Isolation basin (isolation contact),HAT
70,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5910 LuS-5911,60.76,-46.03,7.39,0.6,0.6,9400,260,260,Isolation basin (isolation contact),HAT
71,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5960,60.76,-46.03,4.09,0.5,0.5,9230,200,200,Isolation basin (isolation contact),HAT
72,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5927 LuS-5914 LuS-5926,60.76,-46.03,-0.81,0.5,0.5,8600,400,400,Isolation basin (isolation contact),HAT
73,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5918 LuS-5925,60.76,-46.03,-2.51,0.5,0.5,8800,200,200,Isolation basin (isolation contact),HAT
74,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5913,60.76,-46.03,-0.81,0.5,0.5,3040,170,170,Isolation basin (ingression contact),HAT
75,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5923,60.76,-46.03,-2.51,0.5,0.5,3745,135,135,Isolation basin (ingression contact),HAT
76,1,Greenland,1,Southern Greenland,Qaqortoq,LuS-5920 LuS-5878,60.76,-46.03,9.89,0.6,0.6,11250,460,460,Isolation basin (isolation contact),HAT
77,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5312,60.12,-45.07,-0.26,0.6,0.6,952,213,213,Isolation basin (ingression contact),HAT
78,1,Greenland,1,Southern Greenland,Nanortalik,Poz-7172 Poz-7173,60.12,-45.07,-2.3,0.5,0.5,2100,900,900,Isolation basin (ingression contact),HAT
79,1,Greenland,1,Southern Greenland,Nanortalik,Poz-7176 LuA-5849 LuA-5316,60.12,-45.07,-2.96,1.1,2.1,5220,2920,2920,Isolation basin (ingression contact),HAT
80,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5846,60.12,-45.07,-6.01,0.6,0.6,2540,200,200,Isolation basin (ingression contact),HAT
81,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5351,60.12,-45.07,-7.46,1.1,2.1,5000,350,350,Isolation basin (ingression contact),HAT
82,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5315,60.12,-45.07,-2.96,1.1,2.1,8950,350,350,Isolation basin (isolation contact),HAT
83,1,Greenland,1,Southern Greenland,Nanortalik,Poz-7320,60.12,-45.07,-6.01,0.6,0.6,9550,80,80,Isolation basin (isolation contact),HAT
84,1,Greenland,1,Southern Greenland,Nanortalik,Poz-7178 LuA-5350,60.12,-45.07,-7.46,1.1,2.1,9265,235,235,Isolation basin (isolation contact),HAT
85,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5348,60.12,-45.07,-3.81,0.5,0.5,9300,300,300,Isolation basin (isolation contact),HAT
86,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5311,60.12,-45.07,-1.6,0.6,0.6,9330,200,200,Isolation basin (isolation contact),HAT
87,1,Greenland,1,Southern Greenland,Nanortalik,LuA-5225 LuA-5226 LuA-5227,60.12,-45.07,3.49,0.5,0.5,10100,550,550,Isolation basin (isolation contact),HAT
88,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15418,60.12,-45.07,1.49,2,2,9995,245,245,Isolation basin (isolation contact),HAT
89,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15419,60.12,-45.07,2.49,2,2,9975,275,275,Isolation basin (isolation contact),HAT
90,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15412,60.12,-45.07,9.49,2,2,10405,195,195,Isolation basin (isolation contact),HAT
91,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15417,60.12,-45.07,22.49,2,2,11300,750,750,Isolation basin (isolation contact),HAT
92,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15902,60.12,-45.07,24.49,2,2,11650,500,500,Isolation basin (isolation contact),HAT
93,1,Greenland,1,Southern Greenland,Nanortalik,Ua-15414,60.12,-45.07,28.49,2,2,11950,700,700,Isolation basin (isolation contact),HAT
94,1,Greenland,1,Southern Greenland,Nanortalik,Ua-14844,60.12,-45.07,31.49,2,2,14650,500,500,Isolation basin (isolation contact),HAT
95,1,Greenland,1,Southern Greenland,Tasiusaq,LuS-7498,61.1,-45.63,23.33,0.5,0.5,8380,170,170,Isolation basin (isolation contact),HAT
96,1,Greenland,1,Southern Greenland,Tasiusaq,LuS-7500,61.1,-45.63,9.42,0.6,0.6,9020,250,250,Isolation basin (isolation contact),HAT
97,1,Greenland,1,Southern Greenland,Tasiusaq,LuS-7521,61.1,-45.63,-4.02,0.6,0.6,7305,135,135,Isolation basin (isolation contact),HAT
98,1,Greenland,1,Southern Greenland,Tasiusaq,LuS-7524,61.1,-45.63,-4.02,0.6,0.6,1210,130,130,Isolation basin (ingression contact),HAT
99,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,I-1224,64.517,-100.467,110,5.6,5.6,6716,422,422,shells,<MTL
100,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1164,64.05,-96.983,110,5.6,5.6,6578,295,295,Hiatella arctica,<MTL
101,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1083,64.05,-96.967,101,5.16,5.16,6636,310,310,Hiatella arctica,<MTL
102,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1121,64.042,-96.883,96,4.92,4.92,5455,335,335,Clinocardium ciliatum,<MTL
103,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-299,64.517,-96.05,71.6,3.74,3.74,6096,302,302,Hiatella arctica,<MTL
104,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-439,63.767,-95.667,90,4.63,4.63,6568,289,289,Hiatella arctica,<MTL
105,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1016,62.817,-94.8,122,6.19,6.19,7287,267,267,Hiatella arctica,<MTL
106,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-2042,63.558,-94.071,120,6.1,6.1,7237,245,245,Hiatella arctica,<MTL
107,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-289,64.317,-88.483,126,6.39,6.39,7549,266,266,shells,<MTL
108,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-23,64.3,-95.767,10,1.47,1.47,1722,98,98,plant detritus,>MTL
109,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,Birm-717,62.883,-92.15,15,1.47,1.47,735,180,180,Rangifer tarandus,>MTL
110,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,S-1317,62.883,-92.15,15,1.47,1.47,633,92,92,Rangifer tarandus,>MTL
111,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,S-427,64.817,-92,44.2,2.46,2.46,3893,360,360,seal bones,<MTL
112,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1434,62.267,-95.5,61,3.23,3.23,7301,321,321,Mya truncata,<MTL
113,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1484,62.267,-95.5,62,3.28,3.28,4551,423,423,twigs in marine sed,<MTL
114,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-2634,61.67,-96.55,110,5.6,5.6,5804,187,187,organics in lake sed,>MTL
115,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-5234,61.933,-96.465,110,5.11,5.11,7514,238,238,Hiatella arctica,<MTL
116,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,I(GSC)-8,62.167,-95.683,64,3.38,3.38,7689,309,309,shells,<MTL
117,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-72787,61.308,-94.446,40.5,0.54,0.54,4181,310,310,Hiatella arctica shell,<MTL
118,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-72788,61.308,-94.446,40.5,0.54,0.54,4136,307,307,Mytilus edulis shell fragments,<MTL
119,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-72789,61.308,-94.446,40.5,0.54,0.54,4256,321,321,Balanus species (barnacle) fragments,<MTL
120,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73105,61.248,-94.125,30.2,0.54,0.54,2799,45,45,Picea species (spruce) wood fragment,>MTL
121,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73107,61.248,-94.125,29.8,0.54,0.54,2607,116,116,Empetrum nigrum (crowberry) seed and leaf,>MTL
122,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73106,61.248,-94.125,29.8,0.54,0.54,2484,275,275,Marine alga blade fragment,<MTL
123,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73108,61.248,-94.125,29.5,0.54,0.54,2557,261,261,Marine alga blade fragment,<MTL
124,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-90702,61.248,-94.125,28.9,0.54,0.54,2979,263,263,Mytilus edulis shell fragment,<MTL
125,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-92965,61.248,-94.125,14.3,0.54,0.54,1143,75,75,Crowberry seeds and leaves,>MTL
126,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-92966,61.248,-94.125,14.3,0.54,0.54,1128,223,223,Marine alga fragments,<MTL
127,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-92968,61.248,-94.125,12.7,0.54,0.54,618,53,53,Crowberry seeds,>MTL
128,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73110,61.09,-94.053,10.2,0.54,0.54,739,205,205,Marine alga stipe fragments,<MTL
129,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,UCIAMS-73111,61.09,-94.053,9.7,0.54,0.54,770,216,216,Marine alga stipe,<MTL
130,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-1549,58.74,-94.077,22,1.69,1.69,5600,289,289,Chlamys islandica,<MTL
131,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-2579,59.3,-95.383,85,4.44,4.44,7501,229,229,Hiatella arctica,<MTL
132,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-261,58.742,-94.081,23,1.72,1.72,3077,308,308,Mytilus edulis,<MTL
133,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-3070,58.55,-95.833,106,5.45,5.45,8507,334,334,Hiatella arctica,<MTL
134,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-3851,58.892,-94.967,30.06,2.81,2.81,4321,355,355,Mytilus edulis,<MTL
135,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-682,58.746,-93.841,10.56,5.12,5.12,1010,261,261,Mytilus edulis,MHHW-MLLW
136,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-683,58.703,-93.843,27.06,5.2,5.2,2239,355,355,Mytilus edulis,MHHW-MLLW
137,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-684,58.76,-93.95,6.56,5.12,5.12,803,254,254,Mytilus edulis,MHHW-MLLW
138,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-685,58.619,-93.811,38.56,5.37,5.37,3247,336,336,Mytilus edulis,MHHW-MLLW
139,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-723,58.757,-93.981,22.06,5.14,5.14,1987,316,316,Mytilus edulis,MHHW-MLLW
140,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-92,58.183,-95.05,142,7.21,7.21,7945,271,271,"Hiatella arctica, Mya truncata",<MTL
141,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GX-1063,58.1,-94.7,67,3.59,3.59,8764,374,374,shells,<MTL
142,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GX-1065,59.75,-94.275,38.06,5.37,5.37,3260,350,350,Mytilus edulis,MHHW-MLLW
143,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GX-1072,58.607,-93.657,30,1.97,1.97,3260,350,350,"Mytilus edulis, Macoma balthica, Hiatella arctica",<MTL
144,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GX-1073,58.75,-93.35,4,1.29,1.29,229,229,229,"Mytilus edulis, Macoma balthica, Hiatella arctica, Astarte sp.",<MTL
145,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,I-3973,58.75,-94.25,18,1.62,1.62,2092,227,227,charcoal,>MTL
146,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,S-521,58.75,-94.25,30,1.97,1.97,3215,251,251,seal bones,>MTL
147,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,Beta-214174,58.75,-94.25,45,2.59,2.59,3859,209,209,charcoal,>MTL
148,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,Beta-214172,58.75,-94.25,34,2.13,2.13,3024,134,134,charcoal,>MTL
149,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,AECV-1715C,57.383,-94.2,105,5.4,5.4,6858,295,295,peat,>MTL
150,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,AECV-1718C,57.802,-94.214,85,4.44,4.44,6625,218,218,peat,>MTL
151,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,S-738,58.75,-94.25,35,2.17,2.17,3747,392,392,shells,<MTL
152,2,NorthAmerica,1,Arctic-Atlantic Canada,Hudson bay West,GSC-3988,58.22,-93.85,45.76,2.01,2.01,3709,117,117,Peat,>MTL
153,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,Beta-180468,53.88,-78.84,36.35,5.03,5.03,2536,172,172,Plants,>MTL
154,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,Beta-199819,53.68,-77.73,168.05,5.03,5.03,7009,148,148,Plants,>MTL
155,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,Beta-199816,53.68,-77.73,168.74,5.03,5.03,5740,146,146,Sphagnum remains,>MTL
156,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,L-433A,53.76,-78.94,55.6,2.06,2.06,4063,352,352,Wood,>MTL
157,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-121,53.76,-78.94,40,1.12,1.12,4207,624,624,Shells,<MTL
158,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-256,53.72,-78.82,100,1.12,1.12,5468,684,684,Shells (Hiiatella),<MTL
159,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-119,53.69,-78.63,125,1.12,1.12,5995,542,542,Shells,<MTL
160,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-255,53.69,-78.63,180,1.12,1.12,7302,625,625,Shells,<MTL
161,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-247,53.69,-78.63,186,1.12,1.12,7398,906,906,Shells,<MTL
162,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-245,53.69,-78.63,183,1.12,1.12,7633,579,579,Shells,<MTL
163,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,GSC-2244,53.69,-78.29,168,1.12,1.12,7319,396,396,Shells (Hiiatella),<MTL
164,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,GSC-2239,53.66,-77.97,175,1.12,1.12,7804,374,374,Shells,<MTL
165,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,GSC-1959,53.66,-77.97,174,1.12,1.12,7009,421,421,Shells,<MTL
166,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-249,53.66,-77.97,177,1.12,1.12,7142,616,616,Shells,<MTL
167,2,NorthAmerica,1,Arctic-Atlantic Canada,James bay,QU-122,53.66,-77.97,289,1.12,1.12,8453,624,624,Shells,<MTL
